Transcript.ID,Gene.ID,expression,change,log_change,DMSO_4H_2,THZ1_4H_250nM,log2_fold_4h_250nM,rank
NM_001102566,PCP4L1,4.539,4.1605,-0.3785,4.588,4.27,-0.318,210
NM_001102612,PGPEP1L,4.936,4.9855,0.0495,4.953,4.6945,-0.2585,370
NM_001104,ACTN3,5.1585,4.9495,-0.209,4.994,4.641,-0.353,483
NM_001104544,FAM70A,4.935,4.8895,-0.0455,5.29,5.095,-0.195,369
NM_001105208,LAMA4,5.509,5.2445,-0.2645,6.081,5.5395,-0.5415,625
NM_001105537,ZNF142,8.643,7.218,-1.425,8.697,5.701,-2.996,1538
NM_001105540,DGKZ,11.2555,10.473,-0.7825,11.34,10.2445,-1.0955,1928
NM_001110213,PRH2,5.038,4.7135,-0.3245,4.785,4.799,0.014,417
NM_001110357,RNASE9,4.46,4.028,-0.432,4.06,3.8835,-0.1765,187
NM_001111113,UBE2K,8.753,8.836,0.083,10.195,9.1885,-1.0065,1563
NM_001112707,TLK2,8.0285,7.7675,-0.261,9.091,6.151,-2.94,1393
NM_001113756,TYMP,6.408,6.206,-0.202,6.852,6.358,-0.494,965
NM_001114090,NGEF,4.9595,4.993,0.0335,5.11,4.9805,-0.1295,375
NM_001114100,SEZ6L2,6.5725,6.2835,-0.289,6.75,6.7525,0.0025,1012
NM_001114138,EPB49,4.7055,4.6815,-0.024,5.058,4.748,-0.31,275
NM_001114185,MVK,6.1625,5.6,-0.5625,6.489,5.3425,-1.1465,872
NM_001114309,ELF3,5.0325,4.7485,-0.284,5.108,4.8765,-0.2315,412
NM_001114403,UPK3BL,7.608,7.411,-0.197,7.857,7.3755,-0.4815,1284
NM_001114600,C1orf144,8.796,8.476,-0.32,9.133,7.9285,-1.2045,1574
NM_001114614,MFGE8,5.538,5.761,0.223,5.122,4.9775,-0.1445,638
NM_001114632,JMJD7,6.542,6.458,-0.084,6.036,5.528,-0.508,1003
NM_001114735,BCL2A1,5.339,4.693,-0.646,3.641,3.805,0.164,567
NM_001122659,EDNRB,4.012,3.7685,-0.2435,4.236,4.178,-0.058,89
NM_001122671,CCBL1,7.5935,7.2485,-0.345,8.012,7.3835,-0.6285,1278
NM_001122742,ESR1,6.85,6.7445,-0.1055,6.832,6.66,-0.172,1106
NM_001122764,PPOX,6.6235,6.3685,-0.255,6.758,6.114,-0.644,1035
NM_001122827,ESRP1,5.3965,5.015,-0.3815,5.047,4.8345,-0.2125,591
NM_001122833,STK31,4.676,4.336,-0.34,4.686,4.269,-0.417,265
